,Unnamed: 0,Title,areaname,Price,Area,Avg Price,facing,Bedrooms,Bathrooms,Balcony,Connectivity,Neighbourhood,Safety,Livability,furnishing
0,0,3 BHK Independent House,"Gandhi Nagar, Adyar, Chennai",91000000.0,1000.0,91000.0,South-East,3,2,0,4.6,4.6,4.6,4.6,Fully Furnished
1,1,4 BHK Independent House,"Gandhi Nagar, Gandhi Nagar, Adyar, Chennai",75000000.0,5000.0,15000.0,North,4,5,3,4.6,4.6,4.6,4.6,Semi furnished
2,2,8 BHK Independent House,"Shastri Nagar adyar, Gandhi Nagar, Adyar, Chennai",25000000.0,2600.0,9620.0,North,8,8,2,4.6,4.6,4.6,4.6,Semi furnished
3,3,5 BHK Independent House,"Adyar, Chennai",200000000.0,4000.0,50000.0,North,5,4,2,4.6,4.6,4.6,4.6,Fully Furnished
4,4,5 BHK Independent House,"Shastri Nagar, Adyar, Chennai",35000000.0,3500.0,10000.0,North,5,5,0,4.6,4.6,4.6,4.6,Fully Furnished
5,5,4.5 BHK Independent House,"Gandhi Nagar, Adyar, Chennai",90000000.0,4000.0,22500.0,North-East,5,4,2,4.6,4.6,4.6,4.6,Fully Furnished
6,6,4.5 BHK Independent House,"V Block, Anna Nagar, Chennai",175000000.0,6000.0,29170.0,South,5,4,3,4.5,4.6,4.3,4.4,Semi furnished
7,7,4 BHK Independent House,"Annanagar, Kathiravan Colony, Anna Nagar, Chennai",97500000.0,3000.0,32500.0,South,4,4,2,4.5,4.6,4.3,4.4,Fully Furnished
8,8,5 BHK Independent House,"Kathiravan Colony, Anna Nagar, Chennai",150000000.0,5000.0,30000.0,South,5,5,2,4.5,4.6,4.3,4.4,Fully Furnished
9,9,8 BHK Independent House,"Ranganathan Garden, Anna Nagar, Chennai",130000000.0,4800.0,27080.0,South,8,7,2,4.5,4.6,4.3,4.4,Unfurnished
10,10,4.5 BHK Independent House,"Kathiravan Colony, Anna Nagar, Chennai",90000000.0,4000.0,22500.0,North-East,5,4,2,4.5,4.6,4.3,4.4,Fully Furnished
11,11,4 BHK Independent House,"Kathiravan Colony, Anna Nagar, Chennai",95000000.0,4000.0,23750.0,North,4,3,2,4.5,4.6,4.3,4.4,Fully Furnished
12,12,4.5 BHK Independent House,"Parthasarathy Puram, T Nagar, Chennai",110000000.0,2400.0,45830.0,South,5,4,3,4.4,4.1,4.3,4.6,Unfurnished
13,13,7 BHK Independent House,"T Nagar, Chennai",110000000.0,5000.0,22000.0,North-West,7,6,2,4.4,4.1,4.3,4.6,Fully Furnished
14,14,4 BHK Independent House,"prop today, Parthasarathy Puram, T Nagar, Chennai",140000000.0,3000.0,46670.0,North,4,3,1,4.4,4.1,4.3,4.6,Fully Furnished
15,15,5 BHK Independent House,"Baby Nagar, Velachery, Chennai",29600000.0,3000.0,9870.0,South,5,5,2,4.8,4.7,4.7,4.8,Fully Furnished
16,16,2 BHK Independent House,"Periyar Nagar, Velachery, Chennai",7500000.0,2308.0,3250.0,North-East,2,1,0,4.8,4.7,4.7,4.8,Fully Furnished
17,17,5 BHK Independent House,"House SALE, Baby Nagar, Velachery, Chennai",29400000.0,3000.0,9800.0,South,5,5,2,4.8,4.7,4.7,4.8,Semi furnished
18,18,5 BHK Independent House,"Tansi Nagar, Velachery, Chennai",29500000.0,3200.0,9220.0,South,5,5,5,4.8,4.7,4.7,4.8,Fully Furnished
19,19,8 BHK Independent House,"Gangai Nagar, Velachery, Chennai",33000000.0,4200.0,7860.0,North,8,8,4,4.8,4.7,4.7,4.8,Fully Furnished
20,20,3 BHK Independent House,"Tambaram Mount, Tambaram, Chennai",16000000.0,2100.0,7620.0,West,3,3,1,4.4,4.4,4.3,4.4,Fully Furnished
21,21,3 BHK Independent House,"Visionary Signature Villa, Tambaram Mount, Tambaram, Chennai",9343000.0,1380.0,6770.0,North,3,3,2,4.4,4.4,4.3,4.4,Unfurnished
22,22,3 BHK Independent House,"Sai villas, Tambaram Mount, Tambaram, Chennai",11500000.0,1400.0,8210.0,West,3,3,3,4.4,4.4,4.3,4.4,Semi furnished
23,23,3 BHK Independent House,"marvel county Indepedent HOUSE FOR SALE, Tambaram Mount, Tambaram, Chennai",6700000.0,1800.0,3720.0,North-East,3,2,1,4.4,4.4,4.3,4.4,Semi furnished
24,24,3 BHK Independent House,"Visionary Villa, Tambaram Mount, Tambaram, Chennai",9288000.0,1328.0,6990.0,North,3,3,2,4.4,4.4,4.3,4.4,Fully Furnished
25,25,2 BHK Independent House,"Tambaram Mount, Tambaram, Chennai",4500000.0,1050.0,4290.0,North,2,2,1,4.4,4.4,4.3,4.4,Fully Furnished
26,26,3 BHK Independent House,"Balaji Nagar, Gerugambakkam, Chennai",16000000.0,2000.0,8000.0,North,3,3,3,4.5,4.2,4.4483870967741925,4.443055555555556,Fully Furnished
27,27,2 BHK Independent House,"MLT promoters, Sakthi Avenue, Gerugambakkam, Chennai",8900000.0,1560.0,5710.0,North-West,2,3,1,4.5,4.2,4.4483870967741925,4.443055555555556,Fully Furnished
28,28,3 BHK Independent House,"Goparasanallur, Kattupakkam, Chennai",14500000.0,2000.0,7250.0,West,3,3,1,4.5,4.5,4.5,4.5,Semi furnished
29,29,3 BHK Independent House,"Goparasanallur, Kattupakkam, Chennai",16500000.0,2400.0,6880.0,South-West,3,3,1,4.5,4.5,4.5,4.5,Semi furnished
30,30,2 BHK Independent House,"MLT promoters, Vigneshwara Nagar, Tharapakkam, Chennai",7600000.0,1550.0,4900.0,North,2,3,1,4.5,4.5,4.5,4.5,Fully Furnished
31,31,3 BHK Flat,"New flat at sholinganallur, Sholinganallur, Chennai",9900000.0,1158.0,8550.0,East,3,2,1,4.4,4.5,4.5,4.2,Semi furnished
32,32,3 BHK Independent House,"Maragadham, Kanathur Reddikuppam, Chennai",27500000.0,3600.0,7640.0,East,3,3,3,4.4638888888888895,4.445833333333333,4.4483870967741925,4.443055555555556,Unfurnished
33,33,3 BHK Independent House,"Grand Dale, Muttukadu, Chennai",25000000.0,3000.0,8330.0,East,3,4,3,4.4638888888888895,4.445833333333333,4.4483870967741925,4.443055555555556,Semi furnished
34,34,5 BHK Independent House,"Defence Colony, Ekkatuthangal, Chennai",45000000.0,7000.0,6430.0,North,5,5,2,4.5,4.2,4.2,4.2,Unfurnished
35,35,3 BHK Independent House,"Gandhi Nagar, Adyar, Chennai",91000000.0,1000.0,91000.0,South-West,3,2,0,4.6,4.6,4.6,4.6,Semi furnished
36,36,3 BHK Independent House,"Sector 5, KK Nagar, Chennai",36000000.0,2000.0,18000.0,East,3,2,1,4.6,4.8,4.7,4.9,Semi furnished
37,37,2.5 BHK Independent House,"Trustpuram, Kodambakkam, Chennai",15500000.0,1000.0,15500.0,North,3,2,1,4.7,4.5,4.5,4.4,Semi furnished
38,38,4 BHK Independent House,"Mahalingapuram, Nungambakkam, Chennai",155000000.0,4000.0,38750.0,South,4,4,2,4.6,4.3,4.7,4.6,Unfurnished
39,39,4 BHK Independent House,"Individual Duplex House, Nehru Nagar, Saligramam, Chennai",30000000.0,2300.0,13040.0,East,4,4,2,4.5,4.5,4.5,4.5,Unfurnished
40,40,3 BHK Independent House,"Sector 5, KK Nagar, Chennai",36000000.0,2000.0,18000.0,East,3,2,1,4.6,4.8,4.7,4.9,Unfurnished
41,41,4 BHK Independent House,"Aspiran Garden Colony, Kilpauk, Chennai",77000000.0,3100.0,24840.0,East,4,4,2,4.2,4.3,4.5,4.4,Fully Furnished
42,42,3 BHK Independent House,"Gandhi Nagar, Adyar, Chennai",91000000.0,1000.0,91000.0,East,3,2,0,4.6,4.6,4.6,4.6,Unfurnished
43,43,10 BHK Independent House,"Individual Project, CIT Colony, Mylapore, Chennai",225000000.0,12700.0,17720.0,West,10,10,5,4.2,4.2,4.4483870967741925,4.2,Unfurnished
44,44,4 BHK Independent House,"Mahalingapuram, Nungambakkam, Chennai",155000000.0,4000.0,38750.0,South,4,4,2,4.6,4.3,4.7,4.6,Unfurnished
